학원명,분야구분,"학원주소",설립자-성명,전화번호,교습과정,교습과목(반),정원,교습기간,총교습시간(분),교습비,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,강사수
대전전자통신공과학원,직업기술,"대전광역시 동구 태전로 18 , 4층 (중동)",이용학,042-257-6521,전자,전자기사/기능사 필기,30,1개월0일,2000,"350,000",,,,,,,,"350,000",1
대전전자통신공과학원,직업기술,"대전광역시 동구 태전로 18 , 4층 (중동)",이용학,042-257-6521,전자,전자기사/기능사 실기,30,1개월0일,3000,"450,000",,,,,,,,"450,000",1
대전전자통신공과학원,직업기술,"대전광역시 동구 태전로 18 , 4층 (중동)",이용학,042-257-6521,전자,통신기사/기능사,30,1개월0일,2000,"350,000",,,,,,,,"350,000",1
대전전자통신공과학원,직업기술,"대전광역시 동구 태전로 18 , 4층 (중동)",이용학,042-257-6521,전자,통신기사/기능사 실기,30,1개월0일,3000,"450,000",,,,,,,,"450,000",1
대전전자통신공과학원,직업기술,"대전광역시 동구 태전로 18 , 4층 (중동)",이용학,042-257-6521,전자,"전자,통신 기능장 실기",30,1개월0일,3000,"450,000",,,,,,,,"450,000",1
대학독서실,독서실,"대전광역시 동구 계족로328번길 12 , 2~3층 (성남동)",황대철,042-634-6758,독서실(유아/초·중·고),1월,0,1개월0일,0,"70,000",,,,,,,,"70,000",0
대학독서실,독서실,"대전광역시 동구 계족로328번길 12 , 2~3층 (성남동)",황대철,042-634-6758,독서실(유아/초·중·고),1일,0,0개월1일,0,"5,000",,,,,,,,"5,000",0
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,자격고시(건축사예비),30,1개월0일,1600,"250,000",,,,,,,,"250,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,자격고시(품질),230,1개월20일,2000,"150,000",,,,,,,,"150,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축이론,60,1개월0일,2000,"200,000",,,,,,,,"200,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축실기,40,1개월0일,2100,"300,000",,,,,,,,"300,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,토목이론,70,1개월0일,2000,"200,000",,,,,,,,"200,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,토목실기,40,1개월0일,2100,"300,000",,,,,,,,"300,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,조경이론,60,1개월0일,1600,"200,000",,,,,,,,"200,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,품질경영이론,20,1개월0일,2000,"200,000",,,,,,,,"200,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,품질경영실기,20,1개월0일,2000,"300,000",,,,,,,,"300,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축사자격,60,1개월0일,1200,"300,000",,,,,,,,"300,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축물에너지평가이론,60,1개월0일,1600,"320,000",,,,,,,,"320,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축물에너지평가실무,30,1개월0일,1600,"320,000",,,,,,,,"320,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축시공기술사,30,1개월0일,800,"250,000",,,,,,,,"250,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,토목시공기술사,30,1개월0일,800,"250,000",,,,,,,,"250,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,조경기사실기,60,1개월0일,1200,"300,000",,,,,,,,"300,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,조경기술사,30,1개월0일,800,"250,000",,,,,,,,"250,000",6
현대건설고시학원,인문사회(대),"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,조경기능사설계,20,1개월0일,1200,"300,000",,,,,,,,"300,000",6
한국전기학원,직업기술,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기산업기사 필기과정,30,0개월50일,9000,"1,050,000",,,,,,,,"1,050,000",21
한국전기학원,직업기술,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기산업기사 필기정규,30,0개월46일,8280,"1,000,000",,,,,,,,"1,000,000",21
한국전기학원,직업기술,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기산업기사 실기과정,33,0개월20일,3600,"480,000",,,,,,,,"480,000",21
한국전기학원,직업기술,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기산업기사 실기정규,33,0개월20일,3600,"600,000",,,,,,,,"600,000",21
한국전기학원,직업기술,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기기능사필기정규,24,0개월32일,5760,"710,000",,,,,,,,"710,000",21
한국전기학원,직업기술,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기기능사실기과정,16,1개월0일,5280,"665,000",,,,,,,,"665,000",21
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",SNS마케팅을 위한 블로그 홈페이지 제작 편집,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",SNS마케팅을 위한 유튜브 동영상 제작 편집,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",경영자 홍보를 위한 블로그 홈페이지 제작 편집,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",경영자 홍보를 위한 유튜브 동영상 제작 편집,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",온라인 홍보 블로그 마케팅 제작 편집,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",온라인 홍보 유튜브 마케팅 동영상 제작 편집,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",동영상 제작 편집,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",블로그 홈페이지 제작 편집,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",쇼핑몰 상품 배치 상세페이지 만들기,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",쇼핑몰 창업과정,20,1개월0일,720,"550,000",,,,,,,,"550,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터 기초 활용실습,20,1개월0일,720,"200,000",,,,,,,,"200,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터 중급 활용실습,20,1개월0일,720,"250,000",,,,,,,,"250,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터 고급 활용실습,20,1개월0일,720,"300,000",,,,,,,,"300,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",한글문서실무활용,20,1개월0일,960,"300,000",,,,,,,,"300,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",프레젠테이션활용,20,1개월0일,960,"300,000",,,,,,,,"300,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",스프레드시트활용,20,1개월0일,960,"300,000",,,,,,,,"300,000",3
대승컴퓨터학원,직업기술,대전광역시 대덕구 중리북로 10   4층 (법동),"김학국,박경희",042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",데이터베이스활용,20,1개월0일,960,"350,000",,,,,,,,"350,000",3
