학원명,분야구분,"학원주소",설립자-성명,전화번호,교습과정,교습과목(반),정원,교습기간,총교습시간(분),교습비,모의고사비,재료비,급식비,기숙사비,피복비,차량비,기타경비합계,총교습비,강사수
김청용댄스스포츠학원,기예(대),"대전광역시 서구 도산로 219 , 2층 (변동, 충청하나은행)",김청용,,댄스,왈츠,20,1개월0일,420,"300,000",,,,,,,,"300,000",1
김청용댄스스포츠학원,기예(대),"대전광역시 서구 도산로 219 , 2층 (변동, 충청하나은행)",김청용,,댄스,폭스,20,1개월0일,420,"300,000",,,,,,,,"300,000",1
김청용댄스스포츠학원,기예(대),"대전광역시 서구 도산로 219 , 2층 (변동, 충청하나은행)",김청용,,댄스,퀵스텝,20,1개월0일,420,"300,000",,,,,,,,"300,000",1
김청용댄스스포츠학원,기예(대),"대전광역시 서구 도산로 219 , 2층 (변동, 충청하나은행)",김청용,,댄스,자이브,20,1개월0일,420,"300,000",,,,,,,,"300,000",1
김청용댄스스포츠학원,기예(대),"대전광역시 서구 도산로 219 , 2층 (변동, 충청하나은행)",김청용,,댄스,룸바,20,1개월0일,420,"300,000",,,,,,,,"300,000",1
김청용댄스스포츠학원,기예(대),"대전광역시 서구 도산로 219 , 2층 (변동, 충청하나은행)",김청용,,댄스,탱고,20,1개월0일,420,"300,000",,,,,,,,"300,000",1
김청용댄스스포츠학원,기예(대),"대전광역시 서구 도산로 219 , 2층 (변동, 충청하나은행)",김청용,,댄스,비엔나,20,1개월0일,420,"300,000",,,,,,,,"300,000",1
김청용댄스스포츠학원,기예(대),"대전광역시 서구 도산로 219 , 2층 (변동, 충청하나은행)",김청용,,댄스,회원제,20,1개월0일,420,"20,000",,,,,,,,"20,000",1
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",포토샵,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",포토샵실무,12,0개월14일,1440,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",일러스트레이터,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",드림위버,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",플래시,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",인디자인,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",GTQ포토샵1급,12,0개월42일,3600,"720,000",,,,,,,,"720,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",GTQ포토샵2급,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
